store_nbr,store_name,chain_name,store_state,target,total_orders,total_items,total_brands,total_sales,total_qty,avg_invoice_value,sales_per_order,qty_per_order,items_per_order,brands_per_order,adoption_probability,segment,potential_revenue
45102,INTERNATIONAL PRODUCE MARKET-PROMO,37,2,0,61,59,11,10146.53,235,44.11534783,166.3365574,3.852459016,0.967213115,0.180327869,0.38957953,Low Potential,3952.8804345011713
64552,MARKET IN THE SQUARE,2,20,0,57,78,6,13373.0706,270,53.4922824,234.6152737,4.736842105,1.368421053,0.105263158,0.38873893,Low Potential,5198.633158872378
50020,MCKAY'S MARKET #14,30,23,0,68,76,6,10624.13,239,45.40226496,156.2372059,3.514705882,1.117647059,0.088235294,0.38591132,Low Potential,4099.971986250579
24020,FRESCO Y MAS #0384,7,6,0,54,129,7,22276.4,482,49.83534676,412.5259259,8.925925926,2.388888889,0.12962963,0.38242295,Low Potential,8519.00668901205
48070,NUGGET MARKET #14,37,2,0,94,74,10,21203.08,485,44.54428571,225.5646809,5.159574468,0.787234043,0.106382979,0.38104528,Low Potential,8079.333595473767
19002,FRESH FARM MARKET,4,3,0,27,40,8,3426.1,66,51.91060606,126.8925926,2.444444444,1.481481481,0.296296296,0.37826538,Low Potential,1295.9750213623047
12144010,DAVE STREIFFER CO.3-010,15,28,0,5,34,5,3389.75,59,89.20394737,677.95,11.8,6.8,1.0,0.3776173,Low Potential,1280.028241172433
45130,EL TORO LOCO-BAKERSFIELD,37,2,0,14,57,6,3953.46,78,51.34363636,282.39,5.571428571,4.071428571,0.428571429,0.3769292,Low Potential,1490.174490264058
11685010,CINCO DE MAYO MT MKT-010,20,28,0,7,11,3,441.72,13,33.97846154,63.10285714,1.857142857,1.571428571,0.428571429,0.3758081,Low Potential,166.0019495022297
46821,MC GLOBAL NBK USA #10,37,28,0,1,2,1,1241.1,35,620.55,1241.1,35.0,2.0,1.0,0.3741029,Low Potential,464.2990973889827
39478,LIGHTHOUSE GROCERY,28,20,0,16,18,6,1535.38,27,56.86592593,95.96125,1.6875,1.125,0.375,0.37313965,Low Potential,572.9111552482843
13304010,IDEAL MARKET #11-010,20,9,0,100,23,3,29055.27,583,78.52775676,290.5527,5.83,0.23,0.03,0.37216887,Low Potential,10813.466968001425
25620,TWIN CITY OF BAYONNE L,24,18,0,15,35,6,1919.904,42,46.82692683,127.9936,2.8,2.333333333,0.4,0.37103784,Low Potential,712.3570347862244
25687,SF-040 VILLAGE FRM & G,24,20,0,20,75,8,4587.5942,106,43.27919057,229.37971,5.3,3.75,0.4,0.36855265,Low Potential,1690.7700223882496
12419010,EL AHORRO MKT#15-010,20,28,0,104,96,6,27865.19,572,54.74497053,267.9345192,5.5,0.923076923,0.057692308,0.36672103,Low Potential,10218.751290799379
15723010,TELOLOAPAN #2-010,20,28,0,24,34,4,3927.76,86,45.67162791,163.6566667,3.583333333,1.416666667,0.166666667,0.36134768,Low Potential,1419.2869452285768
25584,BAY FRUIT CORP.,24,20,0,37,160,9,16413.7984,385,45.84859888,443.616173,10.40540541,4.324324324,0.243243243,0.3553818,Low Potential,5833.165003948974
34343,H&D SUPERMARKET,29,27,0,9,66,6,3316.1531,93,35.65756022,368.4614556,10.33333333,7.333333333,0.666666667,0.35521632,Low Potential,1177.9517150954664
11058010,LMS #36-010,20,28,0,5,7,4,610.08,14,43.57714286,122.016,2.8,1.4,0.8,0.35334677,Low Potential,215.56979441642764
47487,HARVEST AT MENDOSA'S,37,2,0,94,38,5,13694.35,286,48.38992933,145.6845745,3.042553191,0.404255319,0.053191489,0.3512266,Low Potential,4809.819962655008
14390010,POCO LOCO SUPERMERCADO #20-010,20,28,0,40,29,5,5610.07,110,51.00063636,140.25175,2.75,0.725,0.125,0.35043553,Low Potential,1965.9678267404436
62601,KEY FOODS HQ #100,21,18,0,1,6,0,188.22,6,31.37,188.22,6.0,6.0,0.0,0.34786415,Low Potential,65.47499050140381
13506010,LA MICH SM 32-010,20,28,0,30,42,5,3576.88,77,50.37859155,119.2293333,2.566666667,1.4,0.166666667,0.34686735,Low Potential,1240.7028966116904
19561,DORCHESTER MARKET,4,10,0,130,46,11,7957.41,214,38.4415942,61.21084615,1.646153846,0.353846154,0.084615385,0.3460374,Low Potential,2753.561370434761
34402,DOUBLE AA MART,29,29,0,3,6,1,169.3041,6,28.21735,56.4347,2.0,2.0,0.333333333,0.34602314,Low Potential,58.58313669267297
24006,FRESCO Y MAS #0239,7,6,0,30,99,6,8589.6025,182,49.93954942,286.3200833,6.066666667,3.3,0.2,0.345667,Low Potential,2969.1421667531135
13342010,GUERRERO MM NO 6 INC-010,20,28,0,14,6,3,392.87,15,26.19133333,28.06214286,1.071428571,0.428571429,0.214285714,0.3438536,Low Potential,135.08976103186606
11071010,AERON'S SUPERMARKET-010,20,9,0,19,22,6,2303.9,46,50.08478261,121.2578947,2.421052632,1.157894737,0.315789474,0.34343937,Low Potential,791.2499654501677
24013,FRESCO Y MAS #0286,7,6,0,41,106,9,15943.898,349,51.43192903,388.875561,8.512195122,2.585365854,0.219512195,0.34149328,Low Potential,5444.73400394541
